TimeSlice	Time	LH_GemellusSuperior	LH_GemellusSuperior
416	0.22464	0.0131038	86.3405
417	0.22518	0.0131038	86.3405
418	0.22572	0.0131038	86.3406
419	0.22626	0.0131038	86.3408
420	0.2268	0.0131038	86.341
421	0.22734	0.0131038	86.3412
422	0.22788	0.0131037	86.3416
423	0.22842	0.0131037	86.3419
424	0.22896	0.0131037	86.3423
425	0.2295	0.0131036	86.3428
426	0.23004	0.0131036	86.3433
427	0.23058	0.0131036	86.3439
428	0.23112	0.0131035	86.3445
429	0.23166	0.0131035	86.3451
430	0.2322	0.0131034	86.3458
431	0.23274	0.0131034	86.3465
432	0.23328	0.0131033	86.3473
433	0.23382	0.0131032	86.3481
434	0.23436	0.0131032	86.349
435	0.2349	0.0131031	86.3498
436	0.23544	0.0131031	86.3508
437	0.23598	0.013103	86.3517
438	0.23652	0.0131029	86.3526
439	0.23706	0.0131028	86.3536
440	0.2376	0.0131028	86.3546
441	0.23814	0.0131027	86.3556
442	0.23868	0.0131026	86.3566
443	0.23922	0.0131025	86.3576
444	0.23976	0.0131025	86.3586
445	0.2403	0.0131024	86.3597
446	0.24084	0.0131023	86.3607
447	0.24138	0.0131022	86.3618
448	0.24192	0.0131021	86.3628
449	0.24246	0.0131021	86.3639
450	0.243	0.013102	86.3649
451	0.24354	0.0131019	86.366
452	0.24408	0.0131018	86.367
453	0.24462	0.0131018	86.3681
454	0.24516	0.0131017	86.3691
455	0.2457	0.0131016	86.3701
456	0.24624	0.0131015	86.3711
457	0.24678	0.0131015	86.3721
458	0.24732	0.0131014	86.3732
459	0.24786	0.0131013	86.3741
460	0.2484	0.0131012	86.3751
461	0.24894	0.0131012	86.3761
462	0.24948	0.0131011	86.377
463	0.25002	0.013101	86.3779
464	0.25056	0.0131009	86.3789
465	0.2511	0.0131009	86.3798
466	0.25164	0.0131008	86.3807
467	0.25218	0.0131007	86.3816
468	0.25272	0.0131007	86.3824
469	0.25326	0.0131006	86.3833
470	0.2538	0.0131006	86.3841
471	0.25434	0.0131005	86.3849
472	0.25488	0.0131004	86.3858
473	0.25542	0.0131004	86.3866
474	0.25596	0.0131003	86.3873
475	0.2565	0.0131003	86.3881
476	0.25704	0.0131002	86.3889
477	0.25758	0.0131001	86.3896
478	0.25812	0.0131001	86.3903
479	0.25866	0.0131	86.391
480	0.2592	0.0131	86.3917
481	0.25974	0.0130999	86.3924
482	0.26028	0.0130999	86.3931
483	0.26082	0.0130998	86.3937
484	0.26136	0.0130998	86.3944
485	0.2619	0.0130997	86.395
486	0.26244	0.0130997	86.3955
487	0.26298	0.0130997	86.3961
488	0.26352	0.0130996	86.3966
489	0.26406	0.0130996	86.3971
490	0.2646	0.0130995	86.3976
491	0.26514	0.0130995	86.398
492	0.26568	0.0130995	86.3985
493	0.26622	0.0130995	86.3988
494	0.26676	0.0130994	86.3992
495	0.2673	0.0130994	86.3995
496	0.26784	0.0130994	86.3998
497	0.26838	0.0130994	86.4
498	0.26892	0.0130993	86.4002
499	0.26946	0.0130993	86.4004
500	0.27	0.0130993	86.4006
501	0.27054	0.0130993	86.4007
502	0.27108	0.0130993	86.4008
503	0.27162	0.0130993	86.4008
504	0.27216	0.0130993	86.4009
505	0.2727	0.0130993	86.4009
506	0.27324	0.0130993	86.4009
507	0.27378	0.0130993	86.4009
508	0.27432	0.0130993	86.4009
509	0.27486	0.0130993	86.4008
510	0.2754	0.0130993	86.4008
511	0.27594	0.0130993	86.4007
512	0.27648	0.0130993	86.4007
513	0.27702	0.0130993	86.4006
514	0.27756	0.0130993	86.4005
515	0.2781	0.0130993	86.4005
516	0.27864	0.0130993	86.4004
517	0.27918	0.0130993	86.4003
518	0.27972	0.0130993	86.4003
519	0.28026	0.0130994	86.4002
520	0.2808	0.0130994	86.4001
521	0.28134	0.0130994	86.4001
522	0.28188	0.0130994	86.4
523	0.28242	0.0130994	86.3999
524	0.28296	0.0130994	86.3999
525	0.2835	0.0130994	86.3999
526	0.28404	0.0130994	86.3998
527	0.28458	0.0130994	86.3998
528	0.28512	0.0130994	86.3998
529	0.28566	0.0130994	86.3997
530	0.2862	0.0130994	86.3997
531	0.28674	0.0130994	86.3997
532	0.28728	0.0130994	86.3997
533	0.28782	0.0130994	86.3997
534	0.28836	0.0130994	86.3997
535	0.2889	0.0130994	86.3998
536	0.28944	0.0130994	86.3998
537	0.28998	0.0130994	86.3998
538	0.29052	0.0130994	86.3999
539	0.29106	0.0130994	86.3999
540	0.2916	0.0130994	86.4
541	0.29214	0.0130994	86.4001
542	0.29268	0.0130994	86.4002
543	0.29322	0.0130993	86.4003
544	0.29376	0.0130993	86.4004
545	0.2943	0.0130993	86.4005
546	0.29484	0.0130993	86.4006
547	0.29538	0.0130993	86.4007
548	0.29592	0.0130993	86.4009
549	0.29646	0.0130993	86.401
550	0.297	0.0130993	86.4012
551	0.29754	0.0130993	86.4013
552	0.29808	0.0130993	86.4015
553	0.29862	0.0130992	86.4017
554	0.29916	0.0130992	86.4019
555	0.2997	0.0130992	86.4021
556	0.30024	0.0130992	86.4023
557	0.30078	0.0130992	86.4025
558	0.30132	0.0130992	86.4027
559	0.30186	0.0130991	86.4029
560	0.3024	0.0130991	86.4032
561	0.30294	0.0130991	86.4034
562	0.30348	0.0130991	86.4036
563	0.30402	0.0130991	86.4039
564	0.30456	0.0130991	86.4041
565	0.3051	0.013099	86.4044
566	0.30564	0.013099	86.4047
567	0.30618	0.013099	86.4049
568	0.30672	0.013099	86.4052
569	0.30726	0.013099	86.4055
570	0.3078	0.0130989	86.4058
571	0.30834	0.0130989	86.4061
572	0.30888	0.0130989	86.4064
573	0.30942	0.0130989	86.4067
574	0.30996	0.0130988	86.407
575	0.3105	0.0130988	86.4073
576	0.31104	0.0130988	86.4076
577	0.31158	0.0130988	86.4079
578	0.31212	0.0130987	86.4082
579	0.31266	0.0130987	86.4086
580	0.3132	0.0130987	86.4089
581	0.31374	0.0130987	86.4092
582	0.31428	0.0130986	86.4095
583	0.31482	0.0130986	86.4099
584	0.31536	0.0130986	86.4102
585	0.3159	0.0130986	86.4105
586	0.31644	0.0130986	86.4109
587	0.31698	0.0130985	86.4112
588	0.31752	0.0130985	86.4115
589	0.31806	0.0130985	86.4118
590	0.3186	0.0130985	86.4121
