TimeSlice	Time	bicepsfemorisposterior	gracilisanterior	gracilisposterior	illiopsoas	rectusfemoris	semimembranosus	semitendinosus	tibialisanterior	vastusintermedius	vastuslateralis	vastusmedialis
74	0.03996	0.0152966	0.0284348	0.00315117	0.0116222	0.401097	0	0.0390438	0.29174	0	0	0
75	0.0405	0.0152261	0.0253627	0.00284465	0.0117719	0.401267	0	0.0393135	0.288247	0	0	0
76	0.04104	0.015059	0.0216862	0.00249543	0.0119233	0.402613	0	0.0393646	0.271927	0	0	0
77	0.04158	0.0148033	0.0177363	0.002127	0.0120758	0.405037	0	0.0392009	0.244454	0	0	0
78	0.04212	0.0144708	0.0137816	0.0017676	0.0122293	0.408306	0	0.0388536	0.207739	0	0	0
79	0.04266	0.0140811	0.0101405	0.00144353	0.0123834	0.412189	0	0.0383621	0.164581	0	0	0
80	0.0432	0.0136571	0.00707676	0.00118454	0.0125373	0.416331	0	0.037792	0.118233	0	0	0
81	0.04374	0.0132296	0.00490414	0.00101499	0.0126903	0.420358	0	0.0372182	0.0729804	0	0	0
82	0.04428	0.0128302	0.00385331	0.000950677	0.012841	0.423816	0	0.036735	0.0336671	0	0	0
83	0.04482	0.0124882	0.00404116	0.00099305	0.0129885	0.426364	0	0.0364178	0.0045548	0	0	0
84	0.04536	0.0122247	0.00540164	0.00113385	0.0131316	0.427706	0	0.0363349	0	0	0	0
85	0.0459	0.0120531	0.00776154	0.00134926	0.0132699	0.427749	0	0.0365209	0	0	0	0
86	0.04644	0.0119731	0.0107718	0.00160918	0.0134031	0.426514	0.000663772	0.0369865	0.00354159	0	0	0
87	0.04698	0.011975	0.0140482	0.0018912	0.0135318	0.424224	0.0013923	0.0377029	0.0311029	0	0	0
88	0.04752	0.0120488	0.0173467	0.00216739	0.0136562	0.421025	0.00190818	0.0386531	0.0693188	0	0	0
89	0.04806	0.0121755	0.0203593	0.00240929	0.0137771	0.417241	0.00219645	0.0397807	0.114619	0	0	0
90	0.0486	0.0123312	0.0227831	0.00258905	0.0138955	0.413187	0.00218649	0.0410277	0.162638	0	0	0
91	0.04914	0.0124868	0.0243352	0.00268943	0.0140123	0.409296	0.00196672	0.0423057	0.208707	0	0	0
92	0.04968	0.0126165	0.0248937	0.00269906	0.0141284	0.405864	0.00150989	0.0435478	0.248949	0	0	0
93	0.05022	0.0126957	0.0243979	0.0026139	0.0142443	0.403214	0.00087598	0.0446725	0.280416	0	0	0
94	0.05076	0.0127041	0.0228629	0.00243391	0.0143604	0.40153	6.92283e-005	0.0456244	0.300708	0	0	0
95	0.0513	0.0126241	0.0203441	0.00216746	0.0144769	0.401049	0	0.0463389	0.308274	0	0	0
96	0.05184	0.0124449	0.01699	0.00183554	0.0145941	0.401813	0	0.046785	0.302286	0	0	0
97	0.05238	0.0121673	0.0130864	0.00146251	0.0147118	0.403801	0	0.0469483	0.283599	0	0	0
98	0.05292	0.011799	0.0089322	0.00107449	0.0148299	0.406838	0	0.0468494	0.253707	0	0	0
99	0.05346	0.0113545	0.00483142	0.000699118	0.0149481	0.410758	0	0.0465131	0.214808	0	0	0
100	0.054	0.0108543	0.00108099	0.000365194	0.0150659	0.415239	0	0.0459976	0.169722	0	0	0
101	0.05454	0.0103241	0	9.89335e-005	0.015183	0.419971	0	0.0453641	0.121839	0	0	0
102	0.05508	0.00979388	0	0	0.0152985	0.42452	0	0.0447006	0.0753035	0	0	0
103	0.05562	0.00929765	0	0	0.0154114	0.428488	0	0.044095	0.0348315	0	0	0
104	0.05616	0.00886431	0	0	0.0155206	0.431472	0	0.0436371	0.00483236	0	0	0
105	0.0567	0.00851707	0	5.37076e-005	0.0156252	0.433225	0	0.0433889	0	0	0	0
106	0.05724	0.00826701	0	0.000273592	0.0157248	0.433608	0	0.0433949	0	0	0	0
107	0.05778	0.00811358	0.00186856	0.000545172	0.0158192	0.432731	0.000443994	0.0436534	0.00160884	0	0	0
108	0.05832	0.00805195	0.00528008	0.000844864	0.0159088	0.430677	0.00124137	0.044165	0.0290041	0	0	0
109	0.05886	0.00807189	0.00878128	0.00114573	0.0159938	0.427654	0.00186359	0.0449015	0.0676483	0	0	0
110	0.0594	0.00815651	0.0120757	0.00141552	0.0160749	0.423894	0.002218	0.0458284	0.114248	0	0	0
111	0.05994	0.00827943	0.0148039	0.00162944	0.0161531	0.419815	0.00234218	0.0468692	0.164213	0	0	0
112	0.06048	0.0084137	0.0167314	0.00176703	0.0162293	0.415748	0.00220511	0.0479594	0.213136	0	0	0
113	0.06102	0.00853169	0.0176872	0.00181717	0.0163042	0.412082	0.00187215	0.0490137	0.257228	0	0	0
